word,count
argued,96
remained,96
mid,96
numbers,96
robert,96
earlier,96
sold,96
london,95
records,95
cannot,95
explorer,95
intended,95
positive,95
content,95
persons,95
appeared,94
fall,94
taking,94
authority,94
adopted,94
territory,94
education,94
supreme,94
co,94
complete,94
built,94
chernobyl,94
lack,93
overall,93
access,93
drug,93
physical,93
st,93
protection,93
close,93
democratic,93
things,93
technology,93
estimated,92
hit,92
numerous,92
supported,92
front,92
activities,92
met,92
call,92
shot,92
changes,92
allow,92
living,91
rates,91
recent,91
necessary,91
uses,91
female,91
georgian,91
ship,90
woman,90
already,90
whose,90
value,90
performed,90
say,90
pay,90
regarding,90
bands,90
method,90
spread,89
weeks,89
turned,89
percent,89
eight,89
scientific,89
britain,89
art,89
greater,89
whole,89
matter,89
agreed,89
senate,89
parties,89
includes,89
sunday,89
direct,89
affiliate,89
resulting,88
disease,88
ground,88
god,88
contains,88
better,88
changed,88
look,88
successful,88
defined,88
web,88
workers,88
collapse,88
sense,87
food,87
kingdom,87
actually,87
highest,87
organization,87
multiple,87
nuclear,87
ford,87
function,87
computer,87
jump,87
island,86
citizens,86
existence,86
difficult,86
double,86
launched,86
behavior,86
test,86
entered,85
roman,85
additional,85
culture,85
typically,85
sources,85
key,85
experience,85
wanted,85
prison,85
fine,85
finally,84
blood,84
knowledge,84
widely,84
move,84
done,84
longer,84
approach,84
joined,84
practice,84
poor,84
cut,84
actions,84
companies,84
indiana,84
verb,84
showed,83
radiation,83
television,83
image,83
presidential,83
victory,83
draft,83
class,83
review,83
libel,83
machine,83
turkish,83
&,82
growth,82
sea,82
takes,82
appears,82
create,82
negative,82
giving,82
elected,82
scale,82
critics,82
website,82
w,82
board,82
core,82
product,82
impact,81
identified,81
voting,81
males,81
violence,81
son,81
arab,81
officers,81
cattle,81
buffalo,81
appear,80
scott,80
previously,80
night,80
star,80
track,80
features,80
opposition,80
career,80
interview,80
acts,80
says,80
lee,80
compound,80
conscription,80
road,79
commonly,79
becoming,79
reports,79
serious,79
david,79
quickly,79
debate,79
mexico,79
believe,79
era,79
silver,79
spanish,79
equal,79
wide,79
greek,79
stories,79
nothing,79
page,79
news,79
rule,79
privacy,79
user,79
sign,78
paul,78
start,78
concept,78
big,78
statute,78
influenced,78
justice,78
completed,78
pre,78
mobile,78
claim,78
zinn,78
attila,78
initial,77
turn,77
minister,77
square,77
religion,77
