word,count
slowly,17
angel,17
pass,17
weak,17
started,17
letters,17
golden,17
penny,17
spit,17
hang,16
bones,16
clothes,16
joy,16
spend,16
pictures,16
books,16
catch,16
tree,16
course,16
strange,16
track,16
phone,16
hello,16
walking,16
worst,16
stone,16
failed,16
ways,16
wrote,16
class,16
hurts,16
sofa,16
loose,16
bird,16
party,16
radio,16
fuck,16
passed,16
history,16
afford,16
bout,16
king,16
million,15
almost,15
dear,15
near,15
changed,15
clock,15
blame,15
turns,15
closer,15
moved,15
win,15
share,15
step,15
brother,15
freedom,15
lyricsfreak,15
smell,15
click,15
cool,15
buy,15
follow,15
nature,15
crown,15
middle,15
kissed,15
loves,15
lying,15
silence,15
book,15
movie,15
resolute,15
lets,15
whether,15
bridge,14
return,14
front,14
wasted,14
type,14
minute,14
wave,14
fair,14
worry,14
album,14
crowd,14
dirt,14
grass,14
calling,14
beneath,14
sleeps,14
poor,14
darkest,14
places,14
darling,14
drive,14
self,14
picture,14
build,14
r,14
church,14
cat,14
bob,14
pride,14
lookin,14
wall,14
spot,14
smiling,14
paper,14
knees,14
calls,14
ago,14
joke,14
given,14
nowhere,14
deity,14
problem,14
quiet,13
holding,13
hours,13
funny,13
talking,13
happen,13
cd,13
copyright,13
search,13
birds,13
writing,13
hoping,13
river,13
eight,13
following,13
strings,13
roll,13
fact,13
prove,13
stuff,13
fade,13
scene,13
five,13
dies,13
filled,13
wear,13
wants,13
pleasure,13
none,13
walked,13
worth,13
watched,13
gives,13
misery,13
lover,13
praying,13
taken,13
mad,13
bus,13
chest,13
loud,13
pretend,13
stage,13
glass,13
trouble,13
dancing,13
telling,13
laughter,13
hip,13
mic,13
learned,13
losing,13
grown,13
war,13
date,13
exactly,13
early,13
foot,13
asked,13
ugly,13
shoot,13
price,13
wrecking,13
swallowed,13
warm,12
ten,12
bars,12
secret,12
happened,12
owners,12
power,12
certain,12
spent,12
throw,12
giving,12
gold,12
sight,12
dreaming,12
orleans,12
dress,12
ride,12
ice,12
clean,12
knowing,12
couple,12
anonymous,12
situation,12
ran,12
evening,12
however,12
smoke,12
tea,12
months,12
shop,12
knock,12
tide,12
hidden,12
brain,12
pink,12
tables,12
instead,12
praise,12
breakin,12
reach,12
suicide,12
wings,12
worried,12
state,12
televised,12
barber,12
fag,12
dry,11
watching,11
keeps,11
regret,11
played,11
bar,11
swear,11
yesterday,11
storm,11
record,11
breaking,11
property,11
stops,11
seat,11
ill,11
fill,11
finding,11
finally,11
edge,11
sounds,11
shoes,11
shows,11
shake,11
tom,11
longer,11
hole,11
average,11
pray,11
burns,11
stupid,11
within,11
falls,11
business,11
rather,11
shine,11
wide,11
corner,11
team,11
sell,11
games,11
lungs,11
harder,11
whenever,11
test,11
glad,11
flag,11
jokes,11
dust,11
waste,11
bags,11
thinks,11
taxi,11
sold,11
thin,11
meant,11
lyric,11
whoa,11
pop,11
fucked,11
bet,11
council,11
carry,11
kissing,11
hungry,10
leaves,10
plays,10
dirty,10
thanks,10
escape,10
heartache,10
kid,10
educational,10
intro,10
single,10
rockin,10
everywhere,10
also,10
seeing,10
club,10
rhyme,10
jane,10
letter,10
number,10
softly,10
arm,10
crime,10
george,10
sang,10
stories,10
rules,10
weight,10
explain,10
apart,10
tear,10
grey,10
conscience,10
whose,10
grace,10
colour,10
ghost,10
video,10
pipe,10
grade,10
backseat,10
blazing,10
ears,10
jack,10
truly,10
growing,10
lust,10
lines,10
dad,10
reminds,10
culture,10
flown,10
crying,10
typical,10
tip,10
thank,10
moments,10
mr,10
cuz,10
holy,10
view,10
idea,10
teacher,10
fat,10
milk,10
modern,10
america,10
fathers,10
ticket,10
case,10
travel,10
caught,10
star,10
member,10
claim,10
bear,10
sides,10
drum,10
good;,10
cake,10
press,10
believing,10
print,10
american,10
fallin,10
tarzan,10
lighthouse,10
dawn,9
stayed,9
afraid,9
actually,9
short,9
doctor,9
woke,9
sober,9
pull,9
burned,9
endless,9
color,9
visit,9
ended,9
tab,9
closed,9
secrets,9
proud,9
ought,9
hanging,9
lovely,9
boyfriend,9
decided,9
devil,9
awesome,9
beauty,9
plans,9
drawer,9
worse,9
seven,9
hall,9
waits,9
bottle,9
stronger,9
yo,9
numb,9
dogs,9
lady,9
act,9
whatever,9
kick,9
sexual,9
cried,9
snow,9
forsake,9
nervous,9
able,9
thats,9
glenlea,9
rage,9
company,9
perhaps,9
coin,9
sleeping,9
thoughts,9
wasting,9
flies,9
pillow,9
finger,9
cup,9
tightly,9
starts,9
sleeve,9
slept,9
local,9
wearing,9
hated,9
wash,9
beyond,9
pale,9
stepping,9
answer,9
fit,9
fans,9
twice,9
praised,9
sweat,9
miley,9
charlie,9
th,9
vinni,9
plastic,9
panadol,9
beast,9
seize,9
monster,9
bother,9
todd,9
space,9
knowledge,9
crafty,9
note,8
hung,8
flame,8
spark,8
soft,8
awake,8
except,8
surprise,8
drugs,8
shout,8
pulled,8
stopped,8
fears,8
knife,8
ends,8
path,8
lead,8
wine,8
singer,8
l,8
rooms,8
table,8
language,8
support,8
halfway,8
rings,8
stolen,8
mess,8
belong,8
tongue,8
p,8
bloke,8
anchor,8
fancy,8
sunday,8
bound,8
lots,8
six,8
check,8
fukk,8
swallow,8
rating,8
enemy,8
rough,8
animals,8
caring,8
fingers,8
anyway,8
cares,8
lovin,8
blinded,8
bone,8
ahead,8
glory,8
shook,8
ship,8
neighbours,8
skies,8
bedroom,8
ex,8
letting,8
wishing,8
heal,8
cheek,8
bump,8
thumb,8
thrown,8
lace,8
sort,8
holds,8
fucking,8
talked,8
eating,8
flow,8
reply,8
ignore,8
alonestar,8
block,8
rising,8
ear,8
west,8
sadness,8
pub,8
crawl,8
bust,8
effort,8
guitar,8
teen,8
thunder,8
favorite,8
learning,8
drinking,8
shoe,8
lasts,8
pets,8
spirit,8
killed,8
fences,8
daughter,8
figure,8
park,8
cant,8
blessed,8
curse,8
art,8
vultures,8
staying,8
bred,8
scars,8
crap,8
grave,8
choose,8
avant,8
wore,8
sweeney,8
diary,8
violence,8
*,8
force,8
cries,8
weeny,8
wherever,8
hometown,8
cities,8
square,7
join,7
rich,7
sigh,7
anywhere,7
comfort,7
ashes,7
disguise,7
kinda,7
plan,7
beginning,7
easily,7
human,7
wild,7
sin,7
tiny,7
rush,7
provided,7
motion,7
chords,7
kicking,7
spread,7
covered,7
beating,7
hiding,7
fighting,7
meets,7
stumble,7
map,7
coast,7
quietly,7
somehow,7
romance,7
older,7
flat,7
girls,7
although,7
create,7
steel,7
ou,7
parts,7
remind,7
began,7
vocals,7
nasty,7
holla,7
camera,7
shelf,7
chair,7
mood,7
monkey,7
problems,7
role,7
votes,7
mercy,7
treasure,7
guide,7
listening,7
orange,7
among,7
hi,7
disappeared,7
sail,7
flowers,7
lately,7
sinking,7
replace,7
blink,7
everyday,7
strumming,7
mirror,7
beats,7
bleed,7
traveller,7
basic,7
drowning,7
sake,7
paid,7
double,7
cheeks,7
searching,7
staring,7
darkness,7
purpose,7
fuss,7
wow,7
cheer,7
stomach,7
bitter,7
hop,7
shore,7
billy,7
mark,7
speech,7
locked,7
ring,7
hardly,7
wonderful,7
desert,7
question,7
doom,7
tells,7
shut,7
reasons,7
genius,7
hug,7
clever,7
recently,7
promised,7
loretta,7
dressed,7
jayjay,7
tryin,7
enemies,7
friday,7
shot,7
provide,7
anti,7
wanting,7
damage,7
intend,7
sign,7
dig,7
tyler,7
durden,7
county,7
scratch,7
mon,7
faces,7
doubts,7
bunkers,7
hunters,7
na,7
aware,7
expect,7
household,7
swim,7
greatest,7
pie,7
wise,7
trades,7
factories,7
jackson,7
