stars,adverbs,sentiment
5.0,1,0.8943
1.0,10,-0.9832
1.0,10,0.8443
5.0,1,0.5525
4.0,4,0.8881
4.0,3,0.9531
5.0,12,0.9904
5.0,0,0.8779
1.0,6,-0.656
2.0,0,0.0
4.0,21,0.9901
5.0,6,0.6003
5.0,1,0.7983
5.0,6,0.128
5.0,2,0.6808
5.0,0,0.5983
5.0,1,0.9841
5.0,3,0.9392
5.0,5,0.9459
5.0,1,0.9468
5.0,1,0.8553
4.0,7,0.9767
5.0,1,-0.9669
4.0,7,0.9336
1.0,1,-0.0258
3.0,6,0.7999
5.0,3,0.9516
5.0,4,0.9434
5.0,1,0.9657
5.0,2,0.9329
5.0,0,0.9805
4.0,7,0.9886
2.0,3,0.5008
3.0,3,0.8526
3.0,19,0.5415
3.0,15,0.9589
5.0,6,0.9485
3.0,1,0.8271
1.0,11,-0.5967
5.0,3,0.9819
5.0,3,0.9719
1.0,6,-0.7359
4.0,2,0.9422
5.0,3,0.9882
4.0,3,0.7684
5.0,4,0.8172
5.0,3,0.9716
5.0,11,0.9907
5.0,8,0.8914
5.0,4,0.9468
5.0,2,0.9432
5.0,10,0.8424
5.0,3,0.6696
4.0,7,0.6471
2.0,9,-0.6471
5.0,5,0.9786
3.0,11,-0.89
5.0,6,0.9667
1.0,7,0.7096
5.0,2,0.9894
3.0,9,-0.35
5.0,5,0.9377
5.0,4,0.9754
5.0,5,0.884
1.0,5,-0.4471
5.0,18,0.9893
1.0,1,-0.4767
4.0,3,0.94
4.0,8,0.7712
2.0,2,-0.5026
3.0,2,0.7065
2.0,3,0.4678
5.0,4,0.9217
4.0,21,0.996
3.0,3,-0.5429
5.0,6,0.8345
1.0,9,-0.7965
5.0,11,0.9894
1.0,29,-0.5464
4.0,4,0.9559
2.0,28,-0.9836
5.0,7,0.9927
5.0,4,0.956
4.0,11,0.9835
5.0,2,0.5106
5.0,8,0.9855
1.0,4,-0.7359
5.0,2,0.8622
5.0,15,0.9896
5.0,6,0.9436
5.0,3,0.9595
1.0,8,0.7631
5.0,7,0.9857
5.0,3,0.8393
4.0,5,0.8555
5.0,2,0.977
5.0,4,0.9822
5.0,2,0.9136
5.0,12,0.9938
1.0,7,-0.9184
4.0,5,0.9863
5.0,1,0.9891
1.0,8,-0.5789
4.0,7,0.8007
5.0,8,0.9818
1.0,7,0.2263
4.0,11,0.9892
3.0,2,0.5487
1.0,10,-0.6965
5.0,3,0.5592
1.0,13,-0.9414
5.0,8,0.9729
5.0,2,0.9594
1.0,5,-0.8251
2.0,0,-0.3089
5.0,6,0.9349
5.0,2,0.9139
5.0,5,0.908
5.0,4,0.9503
5.0,3,0.9068
3.0,10,0.872
3.0,2,0.5859
5.0,4,0.9903
1.0,6,-0.8596
5.0,4,0.9062
1.0,0,0.0516
3.0,12,-0.2368
5.0,1,0.8118
5.0,0,0.9348
4.0,6,0.5601
5.0,7,0.9383
3.0,5,-0.9137
2.0,15,0.9718
1.0,2,-0.5204
5.0,1,0.624
1.0,9,-0.7337
5.0,1,0.908
2.0,2,0.0
5.0,1,0.9322
3.0,2,0.4019
5.0,4,0.8958
2.0,8,0.8496
4.0,4,0.9549
5.0,5,0.9726
5.0,2,0.9382
4.0,3,0.7087
5.0,6,0.949
4.0,0,0.9538
3.0,16,0.9815
5.0,1,0.6534
5.0,11,0.9796
5.0,6,0.4095
5.0,2,0.902
1.0,10,-0.7753
5.0,4,0.9256
5.0,8,0.9762
5.0,11,0.8598
5.0,5,0.1761
3.0,4,0.5423
5.0,2,0.9253
5.0,3,0.9815
3.0,4,-0.4199
4.0,4,0.9335
5.0,2,0.8165
1.0,17,-0.4049
3.0,5,0.9531
5.0,5,0.9493
1.0,3,-0.2263
5.0,2,0.9542
5.0,8,0.9701
2.0,0,-0.8402
5.0,0,0.9605
1.0,4,-0.6497
3.0,3,0.9517
5.0,5,0.9508
1.0,23,0.9636
3.0,12,0.9751
5.0,5,-0.4891
5.0,2,0.9756
1.0,22,-0.8356
4.0,7,0.7544
4.0,2,0.9744
4.0,1,0.6884
5.0,1,0.8439
5.0,3,0.8666
4.0,6,0.9682
5.0,4,0.948
5.0,4,0.9044
5.0,4,0.7745
1.0,1,-0.8006
2.0,7,0.3047
5.0,2,0.865
5.0,1,0.9022
4.0,5,0.9424
5.0,3,0.9709
5.0,0,0.926
1.0,2,-0.7994
1.0,7,-0.7363
3.0,2,0.0
5.0,3,0.9655
5.0,2,0.9671
1.0,19,0.9927
4.0,1,0.4404
5.0,3,0.3612
5.0,5,0.9453
5.0,8,0.9934
2.0,27,0.982
4.0,4,0.6507
5.0,2,0.9133
1.0,9,-0.7269
2.0,9,-0.4952
1.0,5,0.0844
5.0,4,0.9667
5.0,6,0.9857
5.0,4,0.9134
5.0,1,0.938
5.0,0,0.9382
5.0,0,0.9059
5.0,2,0.9875
1.0,11,-0.8196
4.0,7,0.9708
4.0,2,0.9423
4.0,17,0.9846
5.0,4,0.9255
5.0,2,0.9861
4.0,0,0.7712
5.0,13,0.9752
2.0,8,0.7901
2.0,1,-0.7096
1.0,7,0.3736
5.0,1,0.9361
3.0,17,0.964
2.0,11,0.9169
1.0,5,0.9467
4.0,1,0.9408
5.0,18,0.9695
4.0,2,0.8176
5.0,3,0.8802
5.0,1,0.9603
5.0,2,0.8478
5.0,4,0.9245
5.0,11,0.9707
5.0,3,0.9201
